optimizer,learning_rate,num_layers,num_rnn_layers,num_rnn_nodes,num_dense_nodes,dropout_prob,activation,batch_size,model_name,split
Adam,0.0006139595069449991,,,47,,,,117,baseline_lstm,0.0
Adam,2.4203989352174318e-05,,,128,,,,67,baseline_gru,0.0
Adam,1.095531828773263e-05,1,,94,79,,tanh,64,lstm_stacked_denses,0.0
SGD,0.001,4,,83,44,,tanh,90,gru_stacked_denses,0.0
Adam,4.57608244620698e-05,5,,117,44,0.0,relu,113,lstm_stacked_denses_dropout,0.0
Adam,5.020351459326114e-05,4,,62,116,0.1524133227232096,tanh,97,gru_stacked_denses_dropout,0.0
Adam,1e-05,,0,111,,,,97,lstm_stacked,0.0
Adam,1e-05,,5,128,,,,64,gru_stacked,0.0
Adam,1e-05,5,1,83,128,0.49517442137653833,relu,80,lstm_stacked_denses_stacked_dropout,0.0
SGD,0.001,1,0,74,105,0.99,relu,94,gru_stacked_denses_stacked_dropout,0.0
Adam,5.063354989812922e-05,,,44,,,,128,baseline_lstm,1.0
Adam,2.154727470856247e-05,,,128,,,,127,baseline_gru,1.0
Adam,1e-05,1,,128,44,,relu,128,lstm_stacked_denses,1.0
Adam,1e-05,5,,128,44,,tanh,90,gru_stacked_denses,1.0
Adam,1e-05,5,,112,112,0.16577432137134065,tanh,66,lstm_stacked_denses_dropout,1.0
SGD,0.001,4,,44,72,0.11508899611261993,tanh,95,gru_stacked_denses_dropout,1.0
Adam,1.641824940853893e-05,,0,44,,,,64,lstm_stacked,1.0
Adam,4.309408133212752e-05,,0,128,,,,64,gru_stacked,1.0
Adam,1e-05,1,0,128,128,0.1804495408400123,tanh,64,lstm_stacked_denses_stacked_dropout,1.0
Adam,1.2173312917164555e-05,5,0,127,121,0.6640878550370045,tanh,88,gru_stacked_denses_stacked_dropout,1.0
Adam,2.6426853153885274e-05,,,58,,,,118,baseline_lstm,2.0
Adam,0.00024493350551749095,,,100,,,,73,baseline_gru,2.0
Adam,1.8353367867090277e-05,5,,95,44,,tanh,128,lstm_stacked_denses,2.0
Adam,1e-05,5,,122,80,,tanh,64,gru_stacked_denses,2.0
Adam,5.5415060841829456e-05,4,,128,61,0.7947370014795142,tanh,77,lstm_stacked_denses_dropout,2.0
SGD,0.001,3,,128,128,0.0,tanh,64,gru_stacked_denses_dropout,2.0
Adam,1.4129310869325273e-05,,0,126,,,,128,lstm_stacked,2.0
Adam,8.361007429308245e-05,,0,44,,,,64,gru_stacked,2.0
Adam,1.1991908885089753e-05,4,1,53,85,0.04068190006445654,relu,111,lstm_stacked_denses_stacked_dropout,2.0
Adam,3.145346664484636e-05,1,4,128,44,0.2279520152308561,tanh,92,gru_stacked_denses_stacked_dropout,2.0
