model,split,time
baseline_lstm,0,1678.5947160720823
baseline_gru,0,2138.43559384346
lstm_stacked_denses,0,1058.0409903526306
gru_stacked_denses,0,1837.102184772492
lstm_stacked_denses_dropout,0,973.6377828121184
gru_stacked_denses_dropout,0,1350.5088391304016
lstm_stacked,0,3853.669829845429
gru_stacked,0,2816.2319440841675
lstm_stacked_denses_stacked_dropout,0,3838.753012895584
gru_stacked_denses_stacked_dropout,0,2566.945019721985
baseline_lstm,1,2176.964567422867
baseline_gru,1,1977.1100842952728
lstm_stacked_denses,1,1943.6426796913147
gru_stacked_denses,1,1441.4495420455933
lstm_stacked_denses_dropout,1,1251.2021369934082
gru_stacked_denses_dropout,1,1316.5908892154694
lstm_stacked,1,2742.279385328293
gru_stacked,1,3693.050881385803
lstm_stacked_denses_stacked_dropout,1,2981.960376739502
gru_stacked_denses_stacked_dropout,1,4140.829552650452
baseline_lstm,2,2131.761428117752
baseline_gru,2,1406.1456875801086
lstm_stacked_denses,2,1666.6998376846311
gru_stacked_denses,2,1769.0351541042328
lstm_stacked_denses_dropout,2,1551.139930009842
gru_stacked_denses_dropout,2,1721.3239850997925
lstm_stacked,2,3406.258666276932
gru_stacked,2,3469.4600846767426
lstm_stacked_denses_stacked_dropout,2,3321.4116184711456
gru_stacked_denses_stacked_dropout,2,3023.76992559433
