model_type,horizon,split,score_type,score
Baseline,7,0,auprc,0.6203985928427811
Baseline,6,0,auprc,0.6138062460229246
Baseline,5,0,auprc,0.5804958212793314
Baseline,4,0,auprc,0.6254931159815608
Baseline,3,0,auprc,0.6136559947694396
Baseline,2,0,auprc,0.6360276579715294
Baseline,1,0,auprc,0.6240624665166612
Baseline,0,0,auprc,0.6662891474234679
Baseline,7,0,aucroc,0.6756636897479814
Baseline,6,0,aucroc,0.6974692432151907
Baseline,5,0,aucroc,0.6874448736275435
Baseline,4,0,aucroc,0.6984365513054038
Baseline,3,0,aucroc,0.6975106253794778
Baseline,2,0,aucroc,0.7066690819068322
Baseline,1,0,aucroc,0.7058552259676891
Baseline,0,0,aucroc,0.7314437373530015
Tuned,7,0,auprc,0.5695411174242644
Tuned,6,0,auprc,0.5909801516695745
Tuned,5,0,auprc,0.6225956284153005
Tuned,4,0,auprc,0.6497988325468482
Tuned,3,0,auprc,0.6770283816589836
Tuned,2,0,auprc,0.676597210374759
Tuned,1,0,auprc,0.6897778236977852
Tuned,0,0,auprc,0.7064974865087
Tuned,7,0,aucroc,0.7624327134817713
Tuned,6,0,aucroc,0.7788869554599017
Tuned,5,0,aucroc,0.8090118312600747
Tuned,4,0,aucroc,0.8273224043715847
Tuned,3,0,aucroc,0.8455676988463874
Tuned,2,0,aucroc,0.8511759200555504
Tuned,1,0,aucroc,0.8607747463627979
Tuned,0,0,aucroc,0.8712278952461949
Average,7,0,auprc,0.6195898144472985
Average,6,0,auprc,0.6292433136132727
Average,5,0,auprc,0.6388540902047141
Average,4,0,auprc,0.6455268700783287
Average,3,0,auprc,0.6580172350165346
Average,2,0,auprc,0.6660540170149427
Average,1,0,auprc,0.6643586396307157
Average,0,0,auprc,0.672460063387505
Average,7,0,aucroc,0.8424730853927086
Average,6,0,aucroc,0.8508105137833135
Average,5,0,aucroc,0.8592870829404786
Average,4,0,aucroc,0.8657710989678203
Average,3,0,aucroc,0.8758196721311475
Average,2,0,aucroc,0.8835099477704315
Average,1,0,aucroc,0.8855434232840439
Average,0,0,aucroc,0.8940144872283643
Softmax,7,0,auprc,0.5864320551897783
Softmax,6,0,auprc,0.6025539493108987
Softmax,5,0,auprc,0.5964715066354411
Softmax,4,0,auprc,0.6264801529933414
Softmax,3,0,auprc,0.6602972085677629
Softmax,2,0,auprc,0.6525868856517553
Softmax,1,0,auprc,0.6699460857368282
Softmax,0,0,auprc,0.6915113553532379
Softmax,7,0,aucroc,0.8046855884511867
Softmax,6,0,aucroc,0.8193210611472357
Softmax,5,0,aucroc,0.813193831929195
Softmax,4,0,aucroc,0.8378870673952641
Softmax,3,0,aucroc,0.8643290831815422
Softmax,2,0,aucroc,0.8573498777284667
Softmax,1,0,aucroc,0.8735979292493529
Softmax,0,0,aucroc,0.8916390509985631
Reversed softmax,7,0,auprc,0.551774252765548
Reversed softmax,6,0,auprc,0.5624134961400056
Reversed softmax,5,0,auprc,0.5806629701060753
Reversed softmax,4,0,auprc,0.6161668444103224
Reversed softmax,3,0,auprc,0.6569702421240999
Reversed softmax,2,0,auprc,0.689982210005823
Reversed softmax,1,0,auprc,0.7061793155174261
Reversed softmax,0,0,auprc,0.6996059097202004
Reversed softmax,7,0,aucroc,0.7622339124051871
Reversed softmax,6,0,aucroc,0.7705070671917452
Reversed softmax,5,0,aucroc,0.7861248821436174
Reversed softmax,4,0,aucroc,0.8072252580449301
Reversed softmax,3,0,aucroc,0.8400121432908317
Reversed softmax,2,0,aucroc,0.8657277420523503
Reversed softmax,1,0,aucroc,0.8762607479694148
Reversed softmax,0,0,aucroc,0.8749523446435379
Baseline,7,1,auprc,0.4788309800664452
Baseline,6,1,auprc,0.5519194773680617
Baseline,5,1,auprc,0.5654886462955493
Baseline,4,1,auprc,0.5654886462955493
Baseline,3,1,auprc,0.556598176878764
Baseline,2,1,auprc,0.5899163849311762
Baseline,1,1,auprc,0.6341206294615012
Baseline,0,1,auprc,0.6270132760194767
